Trade No,Cumulative PnL INR,Peak,Drawdown INR,Drawdown %
110,124698.0,135840.0,-11142.0,-8.202296819787986
111,117612.0,135840.0,-18228.0,-13.418727915194346
112,118989.0,135840.0,-16851.0,-12.405035335689046
113,114160.5,135840.0,-21679.5,-15.959584805653709
114,115645.5,135840.0,-20194.5,-14.866386925795053
115,112453.5,135840.0,-23386.5,-17.21621024734982
116,112645.5,135840.0,-23194.5,-17.074867491166078
117,109678.5,135840.0,-26161.5,-19.25905477031802
118,108220.5,135840.0,-27619.5,-20.33237632508834
119,107839.5,135840.0,-28000.5,-20.612853356890458
120,111678.0,135840.0,-24162.0,-17.787102473498233
121,108793.5,135840.0,-27046.5,-19.910556537102472
122,104707.5,135840.0,-31132.5,-22.91850706713781
123,112782.0,135840.0,-23058.0,-16.974381625441694
124,110577.0,135840.0,-25263.0,-18.597614840989397
125,107245.5,135840.0,-28594.5,-21.050132508833922
126,111090.0,135840.0,-24750.0,-18.219964664310954
127,110266.5,135840.0,-25573.5,-18.8261925795053
128,115083.0,135840.0,-20757.0,-15.28047703180212
129,142165.5,142165.5,0.0,0.0
130,137217.0,142165.5,-4948.5,-3.4808023043565424
131,136117.5,142165.5,-6048.0,-4.254196693290567
132,135822.0,142165.5,-6343.5,-4.462053029743504
133,140169.0,142165.5,-1996.5,-1.4043491564409087
134,138289.5,142165.5,-3876.0,-2.7263998649461367
135,132861.0,142165.5,-9304.5,-6.544836827500343
136,133744.5,142165.5,-8421.0,-5.923378034755268
137,130044.0,142165.5,-12121.5,-8.526330227797883
138,126550.5,142165.5,-15615.0,-10.983677474492756
139,135588.0,142165.5,-6577.5,-4.626649925614864
140,136488.0,142165.5,-5677.5,-3.9935849414942446
141,133557.0,142165.5,-8608.5,-6.05526657311373
142,128926.5,142165.5,-13239.0,-9.31238591641432
143,126465.0,142165.5,-15700.5,-11.043818647984216
144,130492.5,142165.5,-11673.0,-8.210852844044442
145,127425.0,142165.5,-14740.5,-10.368549331588888
146,124326.0,142165.5,-17839.5,-12.548403093577557
147,119191.5,142165.5,-22974.0,-16.160038827985694
148,120496.5,142165.5,-21669.0,-15.242094601010795
149,117372.0,142165.5,-24793.5,-17.439885204216214
150,131091.0,142165.5,-11074.5,-7.789864629604229
151,128025.0,142165.5,-14140.5,-9.946506008841807
152,125640.0,142165.5,-16525.5,-11.62412821676145
153,122155.5,142165.5,-20010.0,-14.075144813615118
154,120678.0,142165.5,-21487.5,-15.114426495879801
155,120451.5,142165.5,-21714.0,-15.273747850216827
156,120691.5,142165.5,-21474.0,-15.104930521117993
157,123303.0,142165.5,-18862.5,-13.267986958861327
158,108933.0,142165.5,-33232.5,-23.37592453865389
159,105918.0,142165.5,-36247.5,-25.496692235457967
160,110454.0,142165.5,-31711.5,-22.306044715490046
161,107221.5,142165.5,-34944.0,-24.57980311678994
162,117169.5,142165.5,-24996.0,-17.582324825643354
163,113457.0,142165.5,-28708.5,-20.19371788514091
164,111022.5,142165.5,-31143.0,-21.906158667187185
165,107499.0,142165.5,-34666.5,-24.384608080019415
166,101673.0,142165.5,-40492.5,-28.482648743893563
167,98743.5,142165.5,-43422.0,-30.543275267206177
168,104595.0,142165.5,-37570.5,-26.42729776211528
169,110946.0,142165.5,-31219.5,-21.959969190837437
170,105559.5,142165.5,-36606.0,-25.74886312079935
171,101401.5,142165.5,-40764.0,-28.673623347436617
172,109164.0,142165.5,-33001.5,-23.213437859396265
173,108214.5,142165.5,-33951.0,-23.881321417643523
174,106962.0,142165.5,-35203.5,-24.76233685387805
175,104379.0,142165.5,-37786.5,-26.579233358304226
176,110977.5,142165.5,-31188.0,-21.93781191639322
177,109065.0,142165.5,-33100.5,-23.283075007649533
178,107404.5,142165.5,-34761.0,-24.45107990335208
179,112239.0,142165.5,-29926.5,-21.05046583031748
180,112524.0,142165.5,-29641.5,-20.84999525201262
181,118470.0,142165.5,-23695.5,-16.667545923589056
182,124023.0,142165.5,-18142.5,-12.761534971564831
183,123276.0,142165.5,-18889.5,-13.286978908384944
184,120414.0,142165.5,-21751.5,-15.300125557888517
185,137890.5,142165.5,-4275.0,-3.007058674572945
186,136974.0,142165.5,-5191.5,-3.6517298500691098
187,135478.5,142165.5,-6687.0,-4.703672832016206
188,133944.0,142165.5,-8221.5,-5.783048629941864
189,129561.0,142165.5,-12604.5,-8.866075102609283
190,130009.5,142165.5,-12156.0,-8.55059771885584
191,127116.0,142165.5,-15049.5,-10.585901642803634
192,132907.5,142165.5,-9258.0,-6.512128469987443
193,127765.5,142165.5,-14400.0,-10.12903974592992
194,127869.0,142165.5,-14296.5,-10.056237272756048
195,125298.0,142165.5,-16867.5,-11.864692910727285
196,118782.0,142165.5,-23383.5,-16.448083395760573
197,111867.0,142165.5,-30298.5,-21.312132690420672
198,111099.0,142165.5,-31066.5,-21.852348143536933
199,111666.0,142165.5,-30499.5,-21.453517203540944
200,112141.5,142165.5,-30024.0,-21.11904787026388
201,112245.0,142165.5,-29920.5,-21.04624539709001
202,112695.0,142165.5,-29470.5,-20.7297129050297
203,132034.5,142165.5,-10131.0,-7.126201504584445
204,125325.0,142165.5,-16840.5,-11.845700961203667
205,120760.5,142165.5,-21405.0,-15.056395539002079
206,135303.0,142165.5,-6862.5,-4.827120503919727
207,133188.0,142165.5,-8977.5,-6.314823216603184
208,128839.5,142165.5,-13326.0,-9.373582198212645
209,148728.0,148728.0,0.0,0.0
210,129049.5,148728.0,-19678.5,-13.231200580926256
211,136164.0,148728.0,-12564.0,-8.447635952880427
212,124621.5,148728.0,-24106.5,-16.20844763595288
213,117822.0,148728.0,-30906.0,-20.78021623366145
214,118921.5,148728.0,-29806.5,-20.04094723253187
215,114171.0,148728.0,-34557.0,-23.235033080522836
216,111604.5,148728.0,-37123.5,-24.960666451508796
217,106519.5,148728.0,-42208.5,-28.37965951266742
218,113031.0,148728.0,-35697.0,-24.00153299983863
219,118542.0,148728.0,-30186.0,-20.296111021462
220,115690.5,148728.0,-33037.5,-22.213369372276908
221,138802.5,148728.0,-9925.5,-6.67359206067452
222,138699.0,148728.0,-10029.0,-6.743182184928191
223,134337.0,148728.0,-14391.0,-9.676052928836535
224,127041.0,148728.0,-21687.0,-14.581652412457641
225,131571.0,148728.0,-17157.0,-11.535823785702759
226,127576.5,148728.0,-21151.5,-14.221599160884299
227,128248.5,148728.0,-20479.5,-13.769767629498144
228,147145.5,148728.0,-1582.5,-1.0640229143133775
229,153615.0,153615.0,0.0,0.0
230,158533.5,158533.5,0.0,0.0
231,154708.5,158533.5,-3825.0,-2.412739263310278
232,157750.5,158533.5,-783.0,-0.49390191978351583
233,156168.0,158533.5,-2365.5,-1.4921136542118858
234,152673.0,158533.5,-5860.5,-3.696695020295395
235,149278.5,158533.5,-9255.0,-5.837882844950752
236,168325.5,168325.5,0.0,0.0
237,170076.0,170076.0,0.0,0.0
238,172113.0,172113.0,0.0,0.0
239,183985.5,183985.5,0.0,0.0
240,183613.5,183985.5,-372.0,-0.20218984648246738
241,180033.0,183985.5,-3952.5,-2.1482671188762157
242,180985.5,183985.5,-3000.0,-1.6305632780844144
243,186037.5,186037.5,0.0,0.0
244,191613.0,191613.0,0.0,0.0
245,186285.0,191613.0,-5328.0,-2.780604656260275
246,178411.5,191613.0,-13201.5,-6.889668237541294
247,172857.0,191613.0,-18756.0,-9.788479904808128
248,167349.0,191613.0,-24264.0,-12.663023907563684
249,161137.5,191613.0,-30475.5,-15.904714189538288
250,167649.0,191613.0,-23964.0,-12.50645833007155
251,166785.0,191613.0,-24828.0,-12.957367193248892
252,163407.0,191613.0,-28206.0,-14.720295595810304
253,158610.0,191613.0,-33003.0,-17.223779179909503
254,156471.0,191613.0,-35142.0,-18.34009174742841
255,153405.0,191613.0,-38208.0,-19.940191949398006
256,150829.5,191613.0,-40783.5,-21.284307432167964
257,151825.5,191613.0,-39787.5,-20.764509714894082
258,154129.5,191613.0,-37483.5,-19.562086079754508
259,152728.5,191613.0,-38884.5,-20.293247326642764
260,156153.0,191613.0,-35460.0,-18.50605125957007
261,153334.5,191613.0,-38278.5,-19.976984860108658
262,150552.0,191613.0,-41061.0,-21.429130591348187
263,153619.5,191613.0,-37993.5,-19.828247561491132
264,158065.5,191613.0,-33547.5,-17.507945703057725
265,159001.5,191613.0,-32611.5,-17.01946110128227
266,156996.0,191613.0,-34617.0,-18.06610198681718
267,169686.0,191613.0,-21927.0,-11.44337805889997
268,166243.5,191613.0,-25369.5,-13.239968060622193
269,164061.0,191613.0,-27552.0,-14.378982636877454
270,163285.5,191613.0,-28327.5,-14.783704654694619
271,160881.0,191613.0,-30732.0,-16.03857775829406
272,161581.5,191613.0,-30031.5,-15.67299713484993
273,160474.5,191613.0,-31138.5,-16.2507241157959
274,157102.5,191613.0,-34510.5,-18.01052120680747
275,162874.5,191613.0,-28738.5,-14.998199495858842
276,159844.5,191613.0,-31768.5,-16.57951182852938
277,158226.0,191613.0,-33387.0,-17.424183119099435
278,146850.0,191613.0,-44763.0,-23.361149817601103
279,138948.0,191613.0,-52665.0,-27.485087128743874
280,137674.5,191613.0,-53938.5,-28.149708005197976
281,136662.0,191613.0,-54951.0,-28.678116829233925
282,131836.5,191613.0,-59776.5,-31.196474143194873
283,127204.5,191613.0,-64408.5,-33.6138466596734
284,132762.0,191613.0,-58851.0,-30.71346933663165
285,132133.5,191613.0,-59479.5,-31.041474221477667
286,130399.5,191613.0,-61213.5,-31.94642325938219
287,135220.5,191613.0,-56392.5,-29.430414429083623
288,137152.5,191613.0,-54460.5,-28.422132110034287
289,134448.0,191613.0,-57165.0,-29.83357079112586
290,135748.5,191613.0,-55864.5,-29.15485901269747
291,136509.0,191613.0,-55104.0,-28.75796527375491
292,133431.0,191613.0,-58182.0,-30.364328098824195
293,131106.0,191613.0,-60507.0,-31.57771132438822
294,129871.5,191613.0,-61741.5,-32.22197867576835
295,127690.5,191613.0,-63922.5,-33.36021042413615
296,130822.5,191613.0,-60790.5,-31.725665795118285
297,127960.5,191613.0,-63652.5,-33.21930140439323
298,130350.0,191613.0,-61263.0,-31.972256579668397
299,134218.5,191613.0,-57394.5,-29.953343457907344
300,131211.0,191613.0,-60402.0,-31.522913372265975
301,130206.0,191613.0,-61407.0,-32.04740805686462
302,128274.0,191613.0,-63339.0,-33.055690375913954
303,132897.0,191613.0,-58716.0,-30.64301482676019
304,130434.0,191613.0,-61179.0,-31.928418217970595
305,127095.0,191613.0,-64518.0,-33.67099309545804
306,125131.5,191613.0,-66481.5,-34.69571480014404
307,127356.0,191613.0,-64257.0,-33.53478104303988
308,125760.0,191613.0,-65853.0,-34.36770991529802
309,123951.0,191613.0,-67662.0,-35.311800347575584
310,119698.5,191613.0,-71914.5,-37.53111740852656
311,120322.5,191613.0,-71290.5,-37.205461007342926
312,117696.0,191613.0,-73917.0,-38.57619263828654
313,124563.0,191613.0,-67050.0,-34.99240656949163
314,122836.5,191613.0,-68776.5,-35.89344146795885
315,122728.5,191613.0,-68884.5,-35.94980507585602
316,128787.0,191613.0,-62826.0,-32.787963238402405
317,123895.5,191613.0,-67717.5,-35.340764979411624
318,119356.5,191613.0,-72256.5,-37.7096021668676
319,114829.5,191613.0,-76783.5,-40.07217673122388
320,113415.0,191613.0,-78198.0,-40.810383429099275
321,112191.0,191613.0,-79422.0,-41.44917098526718
322,117291.0,191613.0,-74322.0,-38.78755616790093
323,117087.0,191613.0,-74526.0,-38.89402076059557
324,115654.5,191613.0,-75958.5,-39.64162139312051
325,113416.5,191613.0,-78196.5,-40.80960060121181
326,114675.0,191613.0,-76938.0,-40.15280800363232
327,112887.0,191613.0,-78726.0,-41.08593884548543
328,111960.0,191613.0,-79653.0,-41.56972647993612
329,113781.0,191613.0,-77832.0,-40.61937342455887
330,113155.5,191613.0,-78457.5,-40.94581265362997
331,121824.0,191613.0,-69789.0,-36.4218502919948
332,118138.5,191613.0,-73474.5,-38.34525841148565
333,115462.5,191613.0,-76150.5,-39.74182336271547
334,113197.5,191613.0,-78415.5,-40.923893472781074
335,121615.5,191613.0,-69997.5,-36.53066336835183
336,112542.0,191613.0,-79071.0,-41.26598925960138
337,108970.5,191613.0,-82642.5,-43.12990245964522
338,107787.0,191613.0,-83826.0,-43.747553662851686
339,112234.5,191613.0,-79378.5,-41.42646897653082
340,109863.0,191613.0,-81750.0,-42.66411986660613
341,110382.0,191613.0,-81231.0,-42.393261417544736
342,105798.0,191613.0,-85815.0,-44.785583441624524
343,103651.5,191613.0,-87961.5,-45.905810148580734
344,102637.5,191613.0,-88975.5,-46.43500180050414
345,113770.5,191613.0,-77842.5,-40.624853219771104
346,107206.5,191613.0,-84406.5,-44.05050805529896
347,103476.0,191613.0,-88137.0,-45.99740101141363
348,97176.0,191613.0,-94437.0,-49.28527813874842
349,98146.5,191613.0,-93466.5,-48.778788495561365
350,102091.5,191613.0,-89521.5,-46.719951151539824
351,100141.5,191613.0,-91471.5,-47.73762740523868
352,112209.0,191613.0,-79404.0,-41.43977705061765
353,110475.0,191613.0,-81138.0,-42.34472608852218
354,108589.5,191613.0,-83023.5,-43.32874074306023
355,107890.5,191613.0,-83722.5,-43.6935385386169
356,104058.0,191613.0,-87555.0,-45.69366379107889
357,105882.0,191613.0,-85731.0,-44.74174507992672
358,107595.0,191613.0,-84018.0,-43.84775563244665
359,107698.5,191613.0,-83914.5,-43.79374050821186
360,103005.0,191613.0,-88608.0,-46.243208968076274
361,111685.5,191613.0,-79927.5,-41.712983983341424
362,108502.5,191613.0,-83110.5,-43.37414476053295
363,105522.0,191613.0,-86091.0,-44.92962377291729
364,113890.5,191613.0,-77722.5,-40.56222698877425
365,121750.5,191613.0,-69862.5,-36.46020885848038
366,115036.5,191613.0,-76576.5,-39.9641464827543
367,117981.0,191613.0,-73632.0,-38.42745533966902
368,112741.5,191613.0,-78871.5,-41.161873150569114
369,127267.5,191613.0,-64345.5,-33.58096788840005
370,125415.0,191613.0,-66198.0,-34.547760329413975
371,116805.0,191613.0,-74808.0,-39.04119240343818
372,121782.0,191613.0,-69831.0,-36.4437694728437
373,130387.5,191613.0,-61225.5,-31.95268588248188
374,125883.0,191613.0,-65730.0,-34.30351802852625
375,122248.5,191613.0,-69364.5,-36.200309999843434
376,126783.0,191613.0,-64830.0,-33.83382129604985
377,123450.0,191613.0,-68163.0,-35.57326486198744
378,123262.5,191613.0,-68350.5,-35.67111834792003
379,135282.0,191613.0,-56331.0,-29.398318485697732
380,132514.5,191613.0,-59098.5,-30.842635938062656
381,136885.5,191613.0,-54727.5,-28.561475474002286
382,139596.0,191613.0,-52017.0,-27.146905481360868
383,135634.5,191613.0,-55978.5,-29.214353932144476
384,128730.0,191613.0,-62883.0,-32.817710698125914
385,121120.5,191613.0,-70492.5,-36.78899657121386
386,155466.0,191613.0,-36147.0,-18.864586432027057
387,151764.0,191613.0,-39849.0,-20.796605658279972
388,154252.5,191613.0,-37360.5,-19.49789419298273
389,157726.5,191613.0,-33886.5,-17.684864805623835
390,159015.0,191613.0,-32598.0,-17.012415650295125
391,157662.0,191613.0,-33951.0,-17.718526404784644
392,154486.5,191613.0,-37126.5,-19.375773042538867
393,151095.0,191613.0,-40518.0,-21.145746896087424
394,149350.5,191613.0,-42262.5,-22.056175729204178
395,148815.0,191613.0,-42798.0,-22.335645285027635
396,150468.0,191613.0,-41145.0,-21.472968953045985
397,147040.5,191613.0,-44572.5,-23.2617306758936
398,144127.5,191613.0,-47485.5,-24.781982433342208
399,144165.0,191613.0,-47448.0,-24.76241173615569
400,152037.0,191613.0,-39576.0,-20.65413098276213
401,153007.5,191613.0,-38605.5,-20.14764133957508
402,163188.0,191613.0,-28425.0,-14.834588467379561
403,161310.0,191613.0,-30303.0,-15.814688982480313
404,158946.0,191613.0,-32667.0,-17.048425733118318
405,157269.0,191613.0,-34344.0,-17.923627311299338
406,154522.5,191613.0,-37090.5,-19.35698517323981
407,157840.5,191613.0,-33772.5,-17.625369886176827
408,156484.5,191613.0,-35128.5,-18.333046296441264
409,151549.5,191613.0,-40063.5,-20.908550046186843
410,162235.5,191613.0,-29377.5,-15.331684175917083
411,162616.5,191613.0,-28996.5,-15.132845892502075
412,161665.5,191613.0,-29947.5,-15.629158773152135
413,160363.5,191613.0,-31249.5,-16.30865337946799
414,158751.0,191613.0,-32862.0,-17.150193358488202
415,173182.5,191613.0,-18430.5,-9.618606253229164
416,170821.5,191613.0,-20791.5,-10.85077734809225
417,170889.0,191613.0,-20724.0,-10.815550093156519
418,179409.0,191613.0,-12204.0,-6.369087692379953
419,170116.5,191613.0,-21496.5,-11.21870645519876
420,173386.5,191613.0,-18226.5,-9.512141660534516
421,173503.5,191613.0,-18109.5,-9.451081085312584
422,171478.5,191613.0,-20134.5,-10.507898733384478
423,167401.5,191613.0,-24211.5,-12.635624931502559
424,177955.5,191613.0,-13657.5,-7.1276479153293355
425,177048.0,191613.0,-14565.0,-7.601258787243037
426,175333.5,191613.0,-16279.5,-8.496031062610575
427,173320.5,191613.0,-18292.5,-9.546586087582783
428,170571.0,191613.0,-21042.0,-10.981509605298179
429,167931.0,191613.0,-23682.0,-12.359286687228947
430,174045.0,191613.0,-17568.0,-9.168480217939285
431,171382.5,191613.0,-20230.5,-10.55799971818196
432,168120.0,191613.0,-23493.0,-12.260650373408902
433,170164.5,191613.0,-21448.5,-11.193655962800019
434,163992.0,191613.0,-27621.0,-14.414992719700647
435,159373.5,191613.0,-32239.5,-16.82531978519203
436,155172.0,191613.0,-36441.0,-19.018020697969344
437,153358.5,191613.0,-38254.5,-19.964459613909284
438,150451.5,191613.0,-41161.5,-21.48158005980805
439,154935.0,191613.0,-36678.0,-19.14170750418813
440,151321.5,191613.0,-40291.5,-21.027539885080866
441,149428.5,191613.0,-42184.5,-22.015468679056223
442,144511.5,191613.0,-47101.5,-24.581578494152275
443,141342.0,191613.0,-50271.0,-26.235693820356655
444,150475.5,191613.0,-41137.5,-21.46905481360868
445,146010.0,191613.0,-45603.0,-23.79953343457907
446,144642.0,191613.0,-46971.0,-24.5134724679432
447,140425.5,191613.0,-51187.5,-26.71400165959512
448,140178.0,191613.0,-51435.0,-26.84316826102613
449,138646.5,191613.0,-52966.5,-27.642435534123464
450,137041.5,191613.0,-54571.5,-28.480061373706377
451,146017.5,191613.0,-45595.5,-23.79561929514177
452,152292.0,191613.0,-39321.0,-20.521050241893818
453,154911.0,191613.0,-36702.0,-19.1542327503875
454,153820.5,191613.0,-37792.5,-19.7233486245714
455,157950.0,191613.0,-33663.0,-17.5682234503922
456,156267.0,191613.0,-35346.0,-18.44655634012306
457,155916.0,191613.0,-35697.0,-18.629738065788857
458,187186.5,191613.0,-4426.5,-2.3101250958964163
459,184777.5,191613.0,-6835.5,-3.5673466831582408
460,182608.5,191613.0,-9004.5,-4.69931580842636
461,183585.0,191613.0,-8028.0,-4.189694853689468
462,189408.0,191613.0,-2205.0,-1.1507569945671745
463,186637.5,191613.0,-4975.5,-2.596640102707019
464,190702.5,191613.0,-910.5,-0.4751765276886224
465,188397.0,191613.0,-3216.0,-1.6783829907156613
466,185899.5,191613.0,-5713.5,-2.981791423337665
467,182488.5,191613.0,-9124.5,-4.761942039423213
468,179500.5,191613.0,-12112.5,-6.321335191244853
469,188481.0,191613.0,-3132.0,-1.634544629017864
470,192754.5,192754.5,0.0,0.0
471,194533.5,194533.5,0.0,0.0
472,194623.5,194623.5,0.0,0.0
473,194037.0,194623.5,-586.5,-0.30135107014312246
474,193135.5,194623.5,-1488.0,-0.7645530986751343
475,193206.0,194623.5,-1417.5,-0.7283293127500019
476,192105.0,194623.5,-2518.5,-1.2940369482616436
477,191487.0,194623.5,-3136.5,-1.611573114243655
478,176650.5,194623.5,-17973.0,-9.234753254360342
479,177280.5,194623.5,-17343.0,-8.911051337582563
480,187585.5,194623.5,-7038.0,-3.61621284171747
481,185064.0,194623.5,-9559.5,-4.911791227678056
482,183213.0,194623.5,-11410.5,-5.862858287925148
483,179764.5,194623.5,-14859.0,-7.63474092285875
484,190876.5,194623.5,-3747.0,-1.925255685978312
485,188280.0,194623.5,-6343.5,-3.2593700144124425
486,187182.0,194623.5,-7441.5,-3.8235362122251426
487,186238.5,194623.5,-8385.0,-4.30831836854234
488,185383.5,194623.5,-9240.0,-4.747628112740753
489,187234.5,194623.5,-7389.0,-3.7965610524936606
490,204955.5,204955.5,0.0,0.0
491,202779.0,204955.5,-2176.5,-1.0619378352861963
492,206979.0,206979.0,0.0,0.0
493,203707.5,206979.0,-3271.5,-1.5805951328395635
494,208384.5,208384.5,0.0,0.0
495,210439.5,210439.5,0.0,0.0
