Trade No,Cumulative PnL INR
455,157950.0
456,156267.0
457,155916.0
458,187186.5
459,184777.5
460,182608.5
461,183585.0
462,189408.0
463,186637.5
464,190702.5
465,188397.0
466,185899.5
467,182488.5
468,179500.5
469,188481.0
470,192754.5
471,194533.5
472,194623.5
473,194037.0
474,193135.5
475,193206.0
476,192105.0
477,191487.0
478,176650.5
479,177280.5
480,187585.5
481,185064.0
482,183213.0
483,179764.5
484,190876.5
485,188280.0
486,187182.0
487,186238.5
488,185383.5
489,187234.5
490,204955.5
491,202779.0
492,206979.0
493,203707.5
494,208384.5
495,210439.5
496,207258.0
497,205098.0
498,203932.5
499,210321.0
500,207517.5
501,202675.5
502,207690.0
503,206379.0
504,205080.0
505,201150.0
506,199816.5
507,200049.0
508,194788.5
509,195150.0
510,190384.5
511,187738.5
512,181515.0
513,180187.5
514,189381.0
515,196401.0
516,193866.0
517,189013.5
518,193834.5
519,191229.0
520,191803.5
521,187747.5
522,194556.0
523,192646.5
524,188569.5
525,186859.5
526,184752.0
527,183676.5
528,184629.0
529,189663.0
530,207886.5
531,205548.0
532,221067.0
533,216759.0
534,212929.5
535,217753.5
536,203509.5
537,200817.0
538,199608.0
539,199278.0
540,206370.0
541,212109.0
542,210946.5
543,200097.0
544,194329.5
545,204744.0
546,201609.0
547,200982.0
548,201568.5
549,196675.5
550,192102.0
551,202108.5
552,210000.0
553,206331.0
554,203163.0
555,207040.5
556,204960.0
557,216478.5
558,220555.5
559,216561.0
560,221074.5
561,219643.5
562,223444.5
563,222180.0
564,227767.5
565,226984.5
566,221109.0
567,229254.0
568,230037.0
569,225409.5
570,223588.5
571,221103.0
572,218796.0
573,225160.5
574,222853.5
575,220929.0
576,204388.5
577,191782.5
578,220053.0
579,214270.5
580,204856.5
581,224436.0
582,217831.5
583,232891.5
584,227686.5
585,225960.0
586,224362.5
587,225073.5
588,221625.0
589,217617.0
590,212841.0
591,207057.0
592,204645.0
593,203418.0
594,201172.5
595,200803.5
596,201373.5
597,198690.0
598,201912.0
599,210007.5
600,209769.0
601,208831.5
602,204568.5
603,196374.0
604,197089.5
605,193392.0
606,193300.5
607,197965.5
608,195388.5
609,192979.5
610,188595.0
611,184152.0
612,182080.5
613,188238.0
614,186381.0
615,191104.5
616,189282.0
617,193531.5
618,200478.0
619,201169.5
620,207775.5
621,213207.0
622,210565.5
623,206979.0
624,206554.5
625,204055.5
626,200851.5
627,199434.0
628,223665.0
629,220422.0
630,217005.0
631,213160.5
632,217117.5
633,216918.0
634,219928.5
635,220395.0
636,216603.0
637,221599.5
638,219205.5
639,217357.5
640,241962.0
641,244702.5
642,242692.5
643,236899.5
644,243618.0
645,240954.0
646,240804.0
647,237048.0
648,243807.0
649,242704.5
650,239322.0
651,238873.5
652,234757.5
653,234687.0
654,235285.5
655,233635.5
656,232612.5
657,232308.0
658,245175.0
659,246064.5
660,253417.5
661,251233.5
662,249480.0
663,256573.5
664,261385.5
665,270357.0
666,273508.5
667,271782.0
668,269410.5
669,267367.5
670,265579.5
671,263299.5
672,263499.0
673,261141.0
674,270996.0
675,268263.0
676,268812.0
677,273204.0
678,267573.0
679,267934.5
680,275113.5
681,274882.5
682,277651.5
683,275104.5
684,280276.5
685,277045.5
686,278731.5
687,278320.5
688,274956.0
689,274680.0
690,277740.0
691,274590.0
692,272337.0
693,269335.5
694,272340.0
695,280525.5
696,277776.0
697,275620.5
698,286888.5
699,283690.5
700,286111.5
701,281466.0
702,279214.5
703,276960.0
704,279015.0
705,279639.0
706,290590.5
707,289390.5
708,288469.5
709,286548.0
710,289618.5
711,292008.0
712,291759.0
713,288894.0
714,287707.5
715,284086.5
716,278952.0
717,278301.0
718,275988.0
719,272083.5
720,268089.0
721,269766.0
722,266428.5
723,264591.0
724,284067.0
725,283614.0
726,284004.0
727,283338.0
728,285816.0
729,283917.0
730,286797.0
731,284616.0
732,283515.0
733,284985.0
734,284040.0
735,284343.0
736,282300.0
737,282057.0
738,281049.0
739,278412.0
740,283998.0
741,284040.0
742,287149.5
743,304026.0
744,303250.5
745,301275.0
746,302277.0
747,305958.0
748,306564.0
749,303898.5
750,303813.0
751,301234.5
752,303766.5
753,302905.5
754,305443.5
755,300814.5
756,298765.5
757,299764.5
758,306045.0
759,303657.0
760,307416.0
761,304816.5
762,306418.5
763,305499.0
764,325627.5
765,328288.5
766,334762.5
767,331722.0
768,330547.5
769,340558.5
770,343270.5
771,352098.0
772,346597.5
773,348720.0
774,339862.5
775,335875.5
776,335139.0
777,335703.0
778,342222.0
779,344496.0
780,340482.0
781,340764.0
782,335139.0
783,329062.5
784,334419.0
785,333667.5
786,333520.5
787,333354.0
788,337182.0
789,340972.5
790,340575.0
791,338161.5
792,333144.0
793,330429.0
794,330334.5
795,326835.0
796,340669.5
797,338074.5
798,335727.0
799,334698.0
800,338764.5
801,337669.5
