Exit Time,Cumulative PnL INR
2015-01-09 12:55:00+05:30,-669.5
2015-01-12 12:15:00+05:30,-854.75
2015-01-12 14:00:00+05:30,-2645.5
2015-01-13 14:25:00+05:30,-858.0
2015-01-14 14:15:00+05:30,822.25
2015-01-15 15:20:00+05:30,11960.0
2015-01-19 09:25:00+05:30,5648.5
2015-01-19 12:15:00+05:30,4085.25
2015-01-19 13:50:00+05:30,2333.5
2015-01-22 14:00:00+05:30,13864.5
2015-01-22 15:15:00+05:30,11849.5
2015-01-23 10:45:00+05:30,14027.0
2015-01-23 15:00:00+05:30,11336.0
2015-01-27 12:00:00+05:30,10003.5
2015-01-27 13:30:00+05:30,7605.0
2015-01-28 12:40:00+05:30,12860.25
2015-01-29 12:05:00+05:30,15889.25
2015-01-30 10:55:00+05:30,16344.25
2015-02-02 13:30:00+05:30,23608.0
2015-02-03 11:45:00+05:30,21414.25
2015-02-03 13:50:00+05:30,19272.5
2015-02-04 10:40:00+05:30,14719.25
2015-02-05 10:00:00+05:30,12671.75
2015-02-05 14:55:00+05:30,12902.5
2015-02-10 09:40:00+05:30,24332.75
2015-02-10 12:15:00+05:30,23000.25
2015-02-10 14:50:00+05:30,21843.25
2015-02-12 11:30:00+05:30,23682.75
2015-02-12 14:10:00+05:30,20783.75
2015-02-16 11:25:00+05:30,31905.25
2015-02-18 10:00:00+05:30,30186.0
2015-02-19 10:40:00+05:30,30390.75
2015-02-19 14:45:00+05:30,30033.25
2015-02-20 09:30:00+05:30,28843.75
2015-02-20 13:30:00+05:30,25743.25
2015-02-20 13:55:00+05:30,22571.25
2015-02-24 13:25:00+05:30,26370.5
2015-02-24 14:25:00+05:30,24215.75
2015-02-25 09:15:00+05:30,20247.5
2015-02-25 13:55:00+05:30,19370.0
2015-02-27 09:15:00+05:30,23192.0
2015-02-28 11:35:00+05:30,31720.0
2015-02-28 12:15:00+05:30,27384.5
2015-02-28 13:15:00+05:30,17761.25
2015-02-28 15:10:00+05:30,9831.25
2015-03-02 11:40:00+05:30,8830.25
2015-03-02 15:00:00+05:30,5427.5
2015-03-04 12:00:00+05:30,10552.75
2015-03-05 13:55:00+05:30,17943.25
2015-03-09 09:15:00+05:30,13195.0
2015-03-11 09:25:00+05:30,19734.0
2015-03-11 11:30:00+05:30,16718.0
2015-03-11 14:15:00+05:30,13923.0
2015-03-11 15:10:00+05:30,11583.0
2015-03-12 09:20:00+05:30,7640.75
2015-03-13 10:05:00+05:30,6373.25
2015-03-16 14:25:00+05:30,11527.75
2015-03-17 12:05:00+05:30,13370.5
2015-03-17 15:00:00+05:30,12304.5
2015-03-18 13:50:00+05:30,10669.75
2015-03-19 09:15:00+05:30,6708.0
2015-03-19 11:30:00+05:30,6282.25
2015-03-24 10:50:00+05:30,15769.0
2015-03-24 13:15:00+05:30,14482.0
2015-03-24 13:55:00+05:30,13048.75
2015-03-24 14:45:00+05:30,11173.5
2015-03-27 13:35:00+05:30,24713.0
2015-03-31 14:15:00+05:30,34950.5
2015-04-01 12:45:00+05:30,34869.25
2015-04-07 11:05:00+05:30,43127.5
2015-04-07 15:00:00+05:30,43036.5
2015-04-09 09:45:00+05:30,47378.5
2015-04-09 13:00:00+05:30,44645.25
2015-04-09 14:00:00+05:30,42194.75
2015-04-09 14:55:00+05:30,38665.25
2015-04-10 11:35:00+05:30,37254.75
2015-04-10 15:00:00+05:30,34999.25
2015-04-15 10:40:00+05:30,36806.25
2015-04-15 13:55:00+05:30,35509.5
2015-04-15 15:00:00+05:30,32058.0
2015-04-16 13:35:00+05:30,37537.5
2015-04-17 09:55:00+05:30,35538.75
2015-04-21 12:45:00+05:30,48327.5
2015-04-21 14:40:00+05:30,45126.25
2015-04-22 14:30:00+05:30,48782.5
2015-04-23 10:40:00+05:30,54171.0
2015-04-23 14:20:00+05:30,54661.75
2015-04-24 09:25:00+05:30,50488.75
2015-04-28 10:20:00+05:30,57193.5
2015-04-28 12:00:00+05:30,53361.75
2015-04-28 14:30:00+05:30,51070.5
2015-04-29 10:30:00+05:30,50800.75
2015-04-29 12:50:00+05:30,48571.25
2015-04-29 14:35:00+05:30,46601.75
2015-04-30 14:05:00+05:30,49910.25
2015-05-04 14:20:00+05:30,54944.5
2015-05-04 15:05:00+05:30,50872.25
2015-05-05 13:05:00+05:30,49845.25
2015-05-07 10:00:00+05:30,62962.25
2015-05-07 12:25:00+05:30,58337.5
2015-05-08 09:15:00+05:30,52341.25
2015-05-12 09:15:00+05:30,60359.0
2015-05-13 09:15:00+05:30,62344.75
2015-05-13 10:55:00+05:30,57447.0
2015-05-13 13:15:00+05:30,54626.0
2015-05-14 09:15:00+05:30,51782.25
2015-05-14 14:45:00+05:30,47580.0
2015-05-19 09:30:00+05:30,55789.5
2015-05-19 12:00:00+05:30,52828.75
2015-05-19 14:10:00+05:30,53534.0
2015-05-20 09:15:00+05:30,51912.25
2015-05-21 10:05:00+05:30,50326.25
2015-05-21 13:30:00+05:30,48496.5
2015-05-22 14:00:00+05:30,50163.75
2015-05-26 15:20:00+05:30,56693.0
2015-05-27 09:15:00+05:30,53030.25
2015-05-27 13:05:00+05:30,50683.75
2015-05-27 13:55:00+05:30,49370.75
2015-05-27 15:20:00+05:30,47433.75
2015-05-28 11:00:00+05:30,46120.75
2015-05-28 15:00:00+05:30,46205.25
2015-05-29 13:25:00+05:30,50355.5
2015-05-29 14:35:00+05:30,47901.75
2015-06-01 13:50:00+05:30,48941.75
2015-06-04 14:25:00+05:30,70014.75
2015-06-05 14:50:00+05:30,71737.25
2015-06-08 14:25:00+05:30,75539.75
2015-06-09 09:20:00+05:30,72176.0
2015-06-10 09:15:00+05:30,68874.0
2015-06-11 10:15:00+05:30,70752.5
2015-06-12 12:05:00+05:30,78016.25
2015-06-12 13:25:00+05:30,75767.25
2015-06-12 14:40:00+05:30,74122.75
2015-06-15 15:25:00+05:30,75465.0
2015-06-16 14:15:00+05:30,76488.75
2015-06-17 15:00:00+05:30,82195.75
2015-06-18 09:20:00+05:30,78237.25
2015-06-19 12:35:00+05:30,82306.25
2015-06-19 14:00:00+05:30,80281.5
2015-06-19 15:05:00+05:30,79540.5
2015-06-22 09:15:00+05:30,76508.25
2015-06-23 09:15:00+05:30,81107.0
2015-06-23 10:10:00+05:30,77808.25
2015-06-23 11:05:00+05:30,75913.5
2015-06-24 09:50:00+05:30,72962.5
2015-06-24 14:55:00+05:30,71539.0
2015-06-25 12:55:00+05:30,71786.0
2015-06-26 09:20:00+05:30,72120.75
2015-06-26 13:10:00+05:30,72367.75
2015-06-29 09:15:00+05:30,61941.75
2015-06-29 13:05:00+05:30,60121.75
2015-07-02 12:05:00+05:30,73193.25
2015-07-03 09:30:00+05:30,71552.0
2015-07-03 12:45:00+05:30,70687.5
2015-07-06 12:40:00+05:30,71376.5
2015-07-07 14:05:00+05:30,75426.0
2015-07-08 13:50:00+05:30,81818.75
2015-07-09 10:00:00+05:30,77476.75
2015-07-10 09:15:00+05:30,76495.25
